epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,77.9027,2.77457,4.1155,2.56148,0,0,0,0,5.65276,5.23389,4.41798,0.00155695,0.00155695,0.00155695
87,78.704,2.87427,4.48094,2.7861,0,0,0,0,5.65276,5.23389,4.41798,0.00157356,0.00157356,0.00157356
88,79.5243,2.82833,4.1152,2.66905,0,0,0,0,5.53502,5.07988,4.27163,0.00159013,0.00159013,0.00159013
89,80.3199,2.43002,3.84003,2.87671,0,0,0,0,5.53502,5.07988,4.27163,0.00160667,0.00160667,0.00160667
90,81.1177,3.39309,3.91232,2.97925,0,0,0,0,5.53502,5.07988,4.27163,0.00162316,0.00162316,0.00162316
91,81.9228,2.43564,3.20509,2.22638,0,0,0,0,5.53502,5.07988,4.27163,0.00163962,0.00163962,0.00163962
92,82.7602,3.21098,4.15073,2.30593,0,0,0,0,5.54189,4.99518,4.2883,0.00165604,0.00165604,0.00165604
93,83.5518,2.57737,4.27302,3.01283,0,0,0,0,5.54189,4.99518,4.2883,0.00167241,0.00167241,0.00167241
94,84.3417,2.99909,4.09361,2.8737,0,0,0,0,5.54189,4.99518,4.2883,0.00168875,0.00168875,0.00168875
95,85.1471,2.47172,3.1759,2.57314,0,0,0,0,5.54189,4.99518,4.2883,0.00170505,0.00170505,0.00170505
96,85.9745,2.66165,3.44675,2.76972,0,0,0,0,5.62403,5.05617,4.40156,0.00172131,0.00172131,0.00172131
97,86.7736,2.6541,3.67975,2.69941,0,0,0,0,5.62403,5.05617,4.40156,0.00173752,0.00173752,0.00173752
98,87.5617,2.74013,3.48256,3.09649,0,0,0,0,5.62403,5.05617,4.40156,0.0017537,0.0017537,0.0017537
99,88.3523,3.36805,4.69836,2.59781,0,0,0,0,5.62403,5.05617,4.40156,0.00176984,0.00176984,0.00176984
100,89.2025,2.27597,3.47835,2.10896,0,0,0,0,5.41164,4.92044,4.2148,0.00178594,0.00178594,0.00178594
101,89.9972,3.0121,4.13017,2.59243,0,0,0,0,5.41164,4.92044,4.2148,0.001802,0.001802,0.001802
102,90.7802,2.76675,3.1487,2.32874,0,0,0,0,5.41164,4.92044,4.2148,0.00180002,0.00180002,0.00180002
103,91.5582,2.50241,3.72948,2.80827,0,0,0,0,5.41164,4.92044,4.2148,0.00179804,0.00179804,0.00179804
104,92.376,2.52928,3.37324,2.56474,0,0,0,0,5.26926,4.44595,4.16127,0.00179606,0.00179606,0.00179606
105,93.1647,2.88335,3.22602,2.25637,0,0,0,0,5.26926,4.44595,4.16127,0.00179408,0.00179408,0.00179408
106,93.956,2.6438,3.78476,2.83647,0,0,0,0,5.26926,4.44595,4.16127,0.0017921,0.0017921,0.0017921
107,94.76,2.86427,3.44007,2.16993,0,0,0,0,5.26926,4.44595,4.16127,0.00179012,0.00179012,0.00179012
108,95.5591,2.39156,3.71419,2.83174,0,0,0,0,5.07612,4.70844,4.07707,0.00178814,0.00178814,0.00178814
109,96.3585,2.955,4.02692,2.69591,0,0,0,0,5.07612,4.70844,4.07707,0.00178616,0.00178616,0.00178616
110,97.1539,2.77912,3.19312,2.83466,0,0,0,0,5.07612,4.70844,4.07707,0.00178418,0.00178418,0.00178418
111,97.9518,2.3926,2.788,2.29442,0,0,0,0,5.07612,4.70844,4.07707,0.0017822,0.0017822,0.0017822
112,98.7681,2.32464,3.72471,2.68596,0,0,0,0,5.08261,4.82536,4.06842,0.00178022,0.00178022,0.00178022
113,99.5615,2.24501,3.4186,2.63859,0,0,0,0,5.08261,4.82536,4.06842,0.00177824,0.00177824,0.00177824
114,100.334,2.32433,2.87785,2.51537,0,0,0,0,5.08261,4.82536,4.06842,0.00177626,0.00177626,0.00177626
115,101.126,2.36982,2.62394,2.32209,0,0,0,0,5.08261,4.82536,4.06842,0.00177428,0.00177428,0.00177428
116,101.937,2.60082,3.21817,2.2951,0,0,0,0,5.12335,4.95239,4.05238,0.0017723,0.0017723,0.0017723
117,102.732,2.44121,3.02381,2.4453,0,0,0,0,5.12335,4.95239,4.05238,0.00177032,0.00177032,0.00177032
118,103.516,2.59343,3.05086,2.50317,0,0,0,0,5.12335,4.95239,4.05238,0.00176834,0.00176834,0.00176834
119,104.315,2.41907,2.81806,2.22348,0,0,0,0,5.12335,4.95239,4.05238,0.00176636,0.00176636,0.00176636
120,105.138,2.24402,2.96486,2.07745,0,0,0,0,4.87959,4.73088,3.93797,0.00176438,0.00176438,0.00176438
121,105.918,2.34391,2.88733,2.71999,0,0,0,0,4.87959,4.73088,3.93797,0.0017624,0.0017624,0.0017624
122,106.696,2.6242,2.66402,2.72191,0,0,0,0,4.87959,4.73088,3.93797,0.00176042,0.00176042,0.00176042
123,107.466,2.3434,3.53895,2.44299,0,0,0,0,4.87959,4.73088,3.93797,0.00175844,0.00175844,0.00175844
124,108.282,3.1277,3.30685,2.46565,0,0,0,0,4.49515,4.70208,3.78546,0.00175646,0.00175646,0.00175646
125,109.077,2.36905,2.802,2.16992,0,0,0,0,4.49515,4.70208,3.78546,0.00175448,0.00175448,0.00175448
126,109.854,2.55069,3.00518,2.60878,0,0,0,0,4.49515,4.70208,3.78546,0.0017525,0.0017525,0.0017525
127,110.635,2.05263,2.86043,2.3858,0,0,0,0,4.49515,4.70208,3.78546,0.00175052,0.00175052,0.00175052
128,111.459,2.89156,3.0015,2.59798,0,0,0,0,3.53181,4.51481,3.53712,0.00174854,0.00174854,0.00174854
129,112.248,2.22129,2.93515,1.93373,0,0,0,0,3.53181,4.51481,3.53712,0.00174656,0.00174656,0.00174656
130,113.029,2.54802,3.19306,2.41224,0,0,0,0,3.53181,4.51481,3.53712,0.00174458,0.00174458,0.00174458
131,113.807,2.53447,2.77374,2.28136,0,0,0,0,3.53181,4.51481,3.53712,0.0017426,0.0017426,0.0017426
132,114.612,2.61969,3.27585,2.71244,0,0,0,0,3.44596,4.39051,3.49687,0.00174062,0.00174062,0.00174062
133,115.393,2.19367,2.81965,2.4592,0,0,0,0,3.44596,4.39051,3.49687,0.00173864,0.00173864,0.00173864
134,116.177,2.4532,2.45953,2.52941,0,0,0,0,3.44596,4.39051,3.49687,0.00173666,0.00173666,0.00173666
135,116.962,2.32403,2.78896,2.61804,0,0,0,0,3.44596,4.39051,3.49687,0.00173468,0.00173468,0.00173468
136,117.774,2.41656,2.42108,2.12965,0,0,0,0,3.44728,4.26686,3.50096,0.0017327,0.0017327,0.0017327
137,118.553,2.29768,3.22679,2.11042,0,0,0,0,3.44728,4.26686,3.50096,0.00173072,0.00173072,0.00173072
138,119.367,2.52817,2.76693,2.22152,0,0,0,0,3.44728,4.26686,3.50096,0.00172874,0.00172874,0.00172874
139,120.142,2.5081,3.14656,2.02786,0,0,0,0,3.44728,4.26686,3.50096,0.00172676,0.00172676,0.00172676
140,120.967,2.09587,2.50427,1.99018,0,0,0,0,3.20955,4.01041,3.46075,0.00172478,0.00172478,0.00172478
141,121.773,2.59943,2.67749,2.12767,0,0,0,0,3.20955,4.01041,3.46075,0.0017228,0.0017228,0.0017228
142,122.572,2.91313,2.93543,2.83224,0,0,0,0,3.20955,4.01041,3.46075,0.00172082,0.00172082,0.00172082
143,123.378,2.66228,3.24939,2.43148,0,0,0,0,3.20955,4.01041,3.46075,0.00171884,0.00171884,0.00171884
144,124.21,2.13993,3.96257,2.0962,0,0,0,0,3.21903,3.80612,3.49871,0.00171686,0.00171686,0.00171686
145,125.001,2.05382,2.22455,1.97859,0,0,0,0,3.21903,3.80612,3.49871,0.00171488,0.00171488,0.00171488
146,125.806,1.8496,1.99944,1.82241,0,0,0,0,3.21903,3.80612,3.49871,0.0017129,0.0017129,0.0017129
147,126.598,1.83713,2.1234,1.7324,0,0,0,0,3.21903,3.80612,3.49871,0.00171092,0.00171092,0.00171092
148,127.426,2.10715,2.51015,1.83932,0,0,0,0,3.31823,5.71017,3.6372,0.00170894,0.00170894,0.00170894
149,128.226,2.13607,2.34186,1.8892,0,0,0,0,3.31823,5.71017,3.6372,0.00170696,0.00170696,0.00170696
150,129.026,2.3141,2.64396,2.34396,0,0,0,0,3.31823,5.71017,3.6372,0.00170498,0.00170498,0.00170498
151,129.81,2.09419,2.48073,1.90642,0,0,0,0,3.31823,5.71017,3.6372,0.001703,0.001703,0.001703
152,130.627,2.61839,2.54137,2.48414,0,0,0,0,3.28994,7.3496,3.67124,0.00170102,0.00170102,0.00170102
153,131.422,2.30936,1.99366,2.10316,0,0,0,0,3.28994,7.3496,3.67124,0.00169904,0.00169904,0.00169904
154,132.23,2.27475,2.51132,2.2386,0,0,0,0,3.28994,7.3496,3.67124,0.00169706,0.00169706,0.00169706
155,133.023,2.79954,2.78686,2.58401,0,0,0,0,3.28994,7.3496,3.67124,0.00169508,0.00169508,0.00169508
156,133.838,1.83727,2.10091,1.88845,0,0,0,0,3.29818,6.05304,3.70592,0.0016931,0.0016931,0.0016931
157,134.64,2.03347,2.08426,2.21292,0,0,0,0,3.29818,6.05304,3.70592,0.00169112,0.00169112,0.00169112
158,135.451,2.26677,2.11032,1.96526,0,0,0,0,3.29818,6.05304,3.70592,0.00168914,0.00168914,0.00168914
159,136.228,1.83848,1.8035,1.77962,0,0,0,0,3.29818,6.05304,3.70592,0.00168716,0.00168716,0.00168716
160,137.052,2.40358,2.45422,2.17707,0.00333,1,0.00748,0.00075,3.60338,4.77706,3.63878,0.00168518,0.00168518,0.00168518
161,137.855,2.40221,2.28622,2.25868,0.00333,1,0.00748,0.00075,3.60338,4.77706,3.63878,0.0016832,0.0016832,0.0016832
162,138.662,2.21498,2.4653,2.60286,0.00333,1,0.00748,0.00075,3.60338,4.77706,3.63878,0.00168122,0.00168122,0.00168122
163,139.469,2.15284,1.71829,1.97525,0.00333,1,0.00748,0.00075,3.60338,4.77706,3.63878,0.00167924,0.00167924,0.00167924
164,140.301,2.06558,2.11471,1.91,0.00333,1,0.00957,0.00226,3.4701,4.37532,3.50801,0.00167726,0.00167726,0.00167726
165,141.116,2.09936,2.11456,1.91553,0.00333,1,0.00957,0.00226,3.4701,4.37532,3.50801,0.00167528,0.00167528,0.00167528
166,141.9,1.93167,2.17279,1.86308,0.00333,1,0.00957,0.00226,3.4701,4.37532,3.50801,0.0016733,0.0016733,0.0016733
167,142.702,2.10124,1.85191,1.85728,0.00333,1,0.00957,0.00226,3.4701,4.37532,3.50801,0.00167132,0.00167132,0.00167132
168,143.518,1.89933,2.0156,2.41915,0.00333,1,0.00434,0.00155,3.53659,4.40821,3.61541,0.00166934,0.00166934,0.00166934
169,144.307,2.15069,2.1502,2.23053,0.00333,1,0.00434,0.00155,3.53659,4.40821,3.61541,0.00166736,0.00166736,0.00166736
170,145.086,2.30255,2.00674,1.94945,0.00333,1,0.00434,0.00155,3.53659,4.40821,3.61541,0.00166538,0.00166538,0.00166538
171,145.878,1.86778,1.79669,1.87724,0.00333,1,0.00434,0.00155,3.53659,4.40821,3.61541,0.0016634,0.0016634,0.0016634
172,146.705,2.43881,2.36121,1.96985,0.00333,1,0.00422,0.00169,3.49472,4.26129,3.56861,0.00166142,0.00166142,0.00166142
173,147.502,1.85167,2.20767,1.87245,0.00333,1,0.00422,0.00169,3.49472,4.26129,3.56861,0.00165944,0.00165944,0.00165944
174,148.295,1.76674,1.89508,1.9016,0.00333,1,0.00422,0.00169,3.49472,4.26129,3.56861,0.00165746,0.00165746,0.00165746
175,149.074,2.0346,1.96077,1.8849,0.00333,1,0.00422,0.00169,3.49472,4.26129,3.56861,0.00165548,0.00165548,0.00165548
176,149.886,2.33342,2.07935,2.13233,0.00333,1,0.01144,0.00198,3.49131,3.93988,3.52629,0.0016535,0.0016535,0.0016535
177,150.682,2.18866,1.79056,2.36279,0.00333,1,0.01144,0.00198,3.49131,3.93988,3.52629,0.00165152,0.00165152,0.00165152
178,151.468,1.94912,2.2074,2.17175,0.00333,1,0.01144,0.00198,3.49131,3.93988,3.52629,0.00164954,0.00164954,0.00164954
179,152.256,2.0338,2.06302,2.25517,0.00333,1,0.01144,0.00198,3.49131,3.93988,3.52629,0.00164756,0.00164756,0.00164756
180,153.084,1.94588,1.78392,1.92562,0.00333,1,0.00948,0.00284,3.34579,3.71069,3.32551,0.00164558,0.00164558,0.00164558
181,153.866,1.78824,1.79348,1.70197,0.00333,1,0.00948,0.00284,3.34579,3.71069,3.32551,0.0016436,0.0016436,0.0016436
182,154.694,1.56209,1.50444,1.72657,0.00333,1,0.00948,0.00284,3.34579,3.71069,3.32551,0.00164162,0.00164162,0.00164162
183,155.501,2.12003,1.84764,2.15176,0.00333,1,0.00948,0.00284,3.34579,3.71069,3.32551,0.00163964,0.00163964,0.00163964
184,156.34,2.18457,2.74788,1.98832,0.00338,1,0.01686,0.00317,3.31596,3.85149,3.22624,0.00163766,0.00163766,0.00163766
185,157.136,2.33976,2.10525,2.51431,0.00338,1,0.01686,0.00317,3.31596,3.85149,3.22624,0.00163568,0.00163568,0.00163568
186,157.929,1.58457,1.84644,2.10178,0.00338,1,0.01686,0.00317,3.31596,3.85149,3.22624,0.0016337,0.0016337,0.0016337
187,158.727,2.1513,2.22843,2.00403,0.00338,1,0.01686,0.00317,3.31596,3.85149,3.22624,0.00163172,0.00163172,0.00163172
188,159.555,2.07316,1.97973,1.90811,0.00389,1,0.01005,0.00301,3.44563,3.64564,3.16121,0.00162974,0.00162974,0.00162974
189,160.345,1.85729,1.74786,1.91089,0.00389,1,0.01005,0.00301,3.44563,3.64564,3.16121,0.00162776,0.00162776,0.00162776
190,161.124,2.02854,2.09937,1.97203,0.00389,1,0.01005,0.00301,3.44563,3.64564,3.16121,0.00162578,0.00162578,0.00162578
191,161.922,2.02412,1.85099,1.95807,0.00389,1,0.01005,0.00301,3.44563,3.64564,3.16121,0.0016238,0.0016238,0.0016238
192,162.754,2.25745,1.95913,1.99088,0.00439,1,0.04146,0.00726,3.35244,3.11361,3.11574,0.00162182,0.00162182,0.00162182
193,163.538,1.67575,1.78221,2.11484,0.00439,1,0.04146,0.00726,3.35244,3.11361,3.11574,0.00161984,0.00161984,0.00161984
194,164.355,1.85772,1.80384,2.27314,0.00439,1,0.04146,0.00726,3.35244,3.11361,3.11574,0.00161786,0.00161786,0.00161786
195,165.159,1.92383,2.21542,1.70063,0.00439,1,0.04146,0.00726,3.35244,3.11361,3.11574,0.00161588,0.00161588,0.00161588
196,165.981,2.50484,2.33926,2.49154,0.00461,1,0.0995,0.0199,3.30046,2.56883,3.10113,0.0016139,0.0016139,0.0016139
197,166.775,1.62881,1.42339,1.77754,0.00461,1,0.0995,0.0199,3.30046,2.56883,3.10113,0.00161192,0.00161192,0.00161192
198,167.558,1.91742,1.61808,2.10807,0.00461,1,0.0995,0.0199,3.30046,2.56883,3.10113,0.00160994,0.00160994,0.00160994
199,168.355,1.87804,1.77307,2.10617,0.00461,1,0.0995,0.0199,3.30046,2.56883,3.10113,0.00160796,0.00160796,0.00160796
200,169.18,1.45426,1.36482,1.57538,0.14702,1,0.16583,0.03897,2.9162,2.59201,2.69641,0.00160598,0.00160598,0.00160598
201,169.992,1.62104,1.50607,1.81804,0.14702,1,0.16583,0.03897,2.9162,2.59201,2.69641,0.001604,0.001604,0.001604
