epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,111.002,1.55189,1.24515,1.46692,0.67009,1,0.86131,0.53571,1.4584,1.30298,1.6738,0.0002972,0.0002972,0.0002972
88,112.255,1.49489,1.26476,1.48877,0.66221,0.87255,0.86596,0.55309,1.39325,1.22849,1.61764,0.0002774,0.0002774,0.0002774
89,113.47,1.43591,1.13882,1.41525,0.81026,0.95158,0.915,0.58774,1.35751,1.16608,1.57342,0.0002576,0.0002576,0.0002576
90,114.702,1.67045,1.39464,1.6548,0.76447,0.88889,0.89515,0.58907,1.36754,1.16041,1.57892,0.0002378,0.0002378,0.0002378
91,174.882,1.35289,1.34553,1.50293,0.77249,0.88889,0.88971,0.60492,1.37767,1.18633,1.57747,0.000218,0.000218,0.000218
92,176.11,1.30198,1.35605,1.48034,0.63254,0.95826,0.88,0.57581,1.39001,1.15379,1.5495,0.0001982,0.0001982,0.0001982
93,177.344,1.29068,1.23827,1.47117,0.63577,0.97135,0.88,0.56735,1.38377,1.13933,1.53625,0.0001784,0.0001784,0.0001784
94,178.55,1.29449,1.24657,1.47872,0.85574,0.6601,0.86771,0.57661,1.37161,1.16227,1.54046,0.0001586,0.0001586,0.0001586
95,179.739,1.2928,1.2673,1.49116,0.85614,0.66198,0.86771,0.58694,1.36134,1.1453,1.5346,0.0001388,0.0001388,0.0001388
96,180.949,1.33631,1.24483,1.53485,0.77033,0.74797,0.87889,0.58629,1.3419,1.16936,1.53972,0.000119,0.000119,0.000119
97,182.137,1.35581,1.32904,1.50297,0.77054,0.74882,0.87889,0.5846,1.34567,1.15965,1.53831,9.92e-05,9.92e-05,9.92e-05
98,183.344,1.24108,1.22512,1.46134,0.77076,0.74969,0.87889,0.56645,1.34364,1.13568,1.5363,7.94e-05,7.94e-05,7.94e-05
99,184.521,1.22672,1.24266,1.44356,0.77166,0.75333,0.87889,0.55203,1.35408,1.14311,1.54287,5.96e-05,5.96e-05,5.96e-05
100,185.732,1.25987,1.22392,1.50776,0.77211,0.7551,0.87889,0.55479,1.34684,1.12963,1.54901,3.98e-05,3.98e-05,3.98e-05
